List ID,PGO Generic Product ID,PNO Current Drug Status,PNO Qty Maximum,PNO Days Supply Minimum,PNO Qty Minimum,PNO Days Supply Maximum,PNO Period Qty Days,PNO Period Qty Maximum,RSTNDCLST,SMART_PA_SCH,Status
ACEACSF,7.00E+12,N,0,0,0,0,0,0,,,P
ACEACSF,7.00E+12,N,0,0,0,0,0,0,ACFPG00089,ACFPG00089,R
ACEACSF,1.21E+13,R,0,0,0,0,0,0,,,R
ACEACSF,1.21E+13,R,0,0,0,0,0,0,,,R
ACEACSF,1.21E+13,R,0,0,0,0,0,0,,,R
ACEACSF,1.21E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.21E+13,R,0,0,0,0,0,0,,,R
ACEACSF,1.21E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1235307000B718,R,0,0,0,0,0,0,,,R
ACEACSF,1.24E+13,R,0,0,0,0,0,0,,,R
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,R,0,0,0,0,0,0,,,R
ACEACSF,1.24E+13,R,0,0,0,0,0,0,,,R
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1235990460B720,N,0,0,0,0,0,0,,,P
ACEACSF,1.24E+13,N,0,0,0,0,0,0,,,P
ACEACSF,1.91E+13,N,0,0,0,0,0,0,ACFPG00090,ACFPG00090,R
ACEACSF,1.91E+13,N,0,0,0,0,0,0,ACFPG00091,ACFPG00091,R
ACEACSF,1.91E+13,N,0,0,0,0,0,0,ACFPG00092,ACFPG00092,R
